country_name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,22.3,22.2,21.8,20.8,20.7,20.4,20.0,19.2,19.1,18.7
Belgium,7.5,6.6,6.4,6.0,5.8,5.8,4.7,3.2,1.8,0.7
Bulgaria,14.1,14.2,15.5,14.6,14.3,13.9,14.0,12.5,11.9,12.6
Cyprus,14.9,14.2,13.2,12.3,11.2,10.4,10.5,9.9,11.0,11.9
Czech Republic,22.3,22.5,22.5,21.5,21.1,20.1,19.3,16.7,15.4,18.4
Denmark,16.5,16.0,15.1,15.1,14.8,14.6,17.7,13.8,14.2,13.8
Estonia,29.8,28.1,26.7,24.8,24.9,21.8,21.6,21.0,20.3,21.1
Finland,18.8,18.4,17.5,17.5,17.1,16.9,16.7,16.9,16.9,16.0
Germany,22.1,22.3,21.8,21.1,20.4,20.1,19.2,18.3,17.6,17.7
Hungary,18.4,15.1,14.0,14.0,15.9,14.2,18.2,17.1,17.2,17.5
Iceland,19.0,16.7,17.5,15.8,15.3,13.8,14.1,12.0,10.2,9.0
Ireland,12.9,13.9,13.9,14.2,14.4,11.3,10.3,9.0,9.9,9.3
Italy,7.0,6.1,5.5,5.3,5.0,5.5,4.6,4.0,4.7,3.8
Latvia,16.0,17.3,18.4,19.7,19.8,19.6,21.6,23.2,15.9,18.9
Lithuania,12.2,13.3,14.2,14.4,15.2,14.0,12.9,12.3,10.9,10.5
Luxembourg,6.2,5.4,4.7,3.9,2.6,1.4,0.9,0.3,-0.2,-0.7
Malta,9.7,10.6,10.7,11.6,13.2,13.0,10.5,7.9,7.2,5.8
Norway,15.5,14.5,16.0,14.5,13.7,13.2,13.3,13.6,13.4,13.7
Portugal,13.3,14.9,16.0,13.9,10.8,8.9,9.4,8.3,7.1,6.3
Romania,4.9,4.5,5.6,4.8,2.9,2.2,2.6,0.9,1.4,1.5
Slovakia,18.8,19.7,19.7,19.2,20.1,19.8,18.2,15.4,16.0,16.8
Slovenia,6.3,7.0,8.2,8.1,8.4,9.3,7.5,2.4,2.7,6.8
Spain,17.8,14.9,14.1,14.8,13.5,11.9,9.6,9.3,9.3,9.2
Sweden,14.6,13.8,14.0,13.3,12.5,12.1,11.1,10.5,10.3,10.4
Switzerland,17.6,17.4,17.9,17.4,17.6,18.6,18.4,18.0,17.0,17.0
