geo,year,brecha_general,tasa_stem,nace_r2,brecha_sector,country_name,gggi_eas,gggi_ggi,gggi_pos
ES,2012,18.7,9.8,B,15.0,Spain,1.0,0.73,0.65
ES,2012,18.7,9.8,B-N,23.9,Spain,1.0,0.73,0.65
ES,2012,18.7,9.8,B-S,17.8,Spain,1.0,0.73,0.65
ES,2012,18.7,9.8,B-S_X_O,18.7,Spain,1.0,0.73,0.65
ES,2012,18.7,9.8,C,23.6,Spain,1.0,0.73,0.65
ES,2012,18.7,9.8,D,13.2,Spain,1.0,0.73,0.65
ES,2012,18.7,9.8,E,16.4,Spain,1.0,0.73,0.65
ES,2012,18.7,9.8,F,4.5,Spain,1.0,0.73,0.65
ES,2012,18.7,9.8,G,25.9,Spain,1.0,0.73,0.65
ES,2012,18.7,9.8,H,11.3,Spain,1.0,0.73,0.65
ES,2012,18.7,9.8,I,18.1,Spain,1.0,0.73,0.65
ES,2012,18.7,9.8,J,16.9,Spain,1.0,0.73,0.65
ES,2012,18.7,9.8,K,21.9,Spain,1.0,0.73,0.65
ES,2012,18.7,9.8,L,19.4,Spain,1.0,0.73,0.65
ES,2012,18.7,9.8,M,23.6,Spain,1.0,0.73,0.65
ES,2012,18.7,9.8,N,15.0,Spain,1.0,0.73,0.65
ES,2012,18.7,9.8,O,10.5,Spain,1.0,0.73,0.65
ES,2012,18.7,9.8,P,11.3,Spain,1.0,0.73,0.65
ES,2012,18.7,9.8,Q,25.9,Spain,1.0,0.73,0.65
ES,2012,18.7,9.8,R,14.7,Spain,1.0,0.73,0.65
ES,2012,18.7,9.8,S,19.5,Spain,1.0,0.73,0.65
AT,2013,22.3,11.6,B-N,23.8,Austria,1.0,0.73,0.67
AT,2013,22.3,11.6,B-S_X_O,22.3,Austria,1.0,0.73,0.67
BE,2013,7.5,6.4,B,-4.1,Belgium,0.99,0.78,0.76
BE,2013,7.5,6.4,B-N,12.1,Belgium,0.99,0.78,0.76
BE,2013,7.5,6.4,B-S_X_O,7.5,Belgium,0.99,0.78,0.76
BE,2013,7.5,6.4,C,7.6,Belgium,0.99,0.78,0.76
BE,2013,7.5,6.4,D,24.2,Belgium,0.99,0.78,0.76
BE,2013,7.5,6.4,E,-1.6,Belgium,0.99,0.78,0.76
BE,2013,7.5,6.4,F,-5.3,Belgium,0.99,0.78,0.76
BE,2013,7.5,6.4,G,13.3,Belgium,0.99,0.78,0.76
BE,2013,7.5,6.4,H,5.3,Belgium,0.99,0.78,0.76
BE,2013,7.5,6.4,I,6.2,Belgium,0.99,0.78,0.76
BE,2013,7.5,6.4,J,12.7,Belgium,0.99,0.78,0.76
BE,2013,7.5,6.4,K,20.8,Belgium,0.99,0.78,0.76
BE,2013,7.5,6.4,L,7.2,Belgium,0.99,0.78,0.76
BE,2013,7.5,6.4,M,16.3,Belgium,0.99,0.78,0.76
BE,2013,7.5,6.4,N,11.3,Belgium,0.99,0.78,0.76
BE,2013,7.5,6.4,P,3.1,Belgium,0.99,0.78,0.76
