freq,unit,isced11,sex,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,P_THAB,ED5,F,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.3 	0.3 	0.3 	: 
A,P_THAB,ED5,F,AT	: 	2.8 	2.9 	2.7 	2.5 	2.8 	3.0 	3.0 	3.4 	3.1 	3.0 	3.4 	3.4 
A,P_THAB,ED5,F,BE	: 	0.0 	0.0 	: d	0.0 	0.0 	0.0 	0.0 d	0.0 d	0.1 d	0.2 	0.2 	: 
A,P_THAB,ED5,F,BG	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,P_THAB,ED5,F,CH	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,P_THAB,ED5,F,CY	: 	0.0 	0.0 	0.1 	0.4 	0.3 	0.6 	0.6 	0.7 	0.8 	0.8 	0.7 	0.5 
A,P_THAB,ED5,F,CZ	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: 
A,P_THAB,ED5,F,DE	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 
A,P_THAB,ED5,F,DK	: 	2.8 	2.9 	1.2 	1.2 	1.2 	1.1 	1.2 	1.0 	1.2 	1.2 	1.5 	1.4 
A,P_THAB,ED5,F,EE	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,P_THAB,ED5,F,EL	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,P_THAB,ED5,F,ES	: 	1.6 	1.8 	1.7 	2.0 	2.0 	2.0 	2.0 	2.0 	2.8 	2.8 	3.0 	3.4 
A,P_THAB,ED5,F,EU27_2020	: 	: 	0.8 	0.8 d	0.8 	0.8 	0.9 d	0.9 	1.0 	1.1 	1.3 	1.1 	: 
A,P_THAB,ED5,F,EU28	: 	: 	0.8 	0.8 d	0.8 	0.9 	1.0 d	1.0 	: 	: 	: 	: 	: 
A,P_THAB,ED5,F,FI	: 	0.0 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,P_THAB,ED5,F,FR	: 	: d	: d	2.9 	3.0 	3.1 	3.4 d	3.4 	3.5 	3.6 	4.2 	2.6 	2.7 
A,P_THAB,ED5,F,HR	: 	0.0 	0.0 	0.1 	0.0 	0.1 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,P_THAB,ED5,F,HU	: 	0.5 	0.4 	0.1 	0.1 	0.0 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.2 
A,P_THAB,ED5,F,IE	: 	2.5 	1.3 	1.7 	1.6 	2.0 	2.9 d	3.2 d	3.8 d	3.5 d	3.8 d	3.8 d	: 
A,P_THAB,ED5,F,IS	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.1 	0.0 	0.1 	0.0 	0.0 	0.0 	: 
A,P_THAB,ED5,F,IT	: 	0.1 	0.1 	0.0 d	0.0 	0.1 	0.1 	0.1 	0.1 p	0.2 	0.2 	0.2 	0.2 
A,P_THAB,ED5,F,LI	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: 	: 
A,P_THAB,ED5,F,LT	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	0.0 
A,P_THAB,ED5,F,LU	: 	0.0 	0.1 	0.1 	0.1 	0.2 	0.1 	0.2 	0.3 	0.5 	0.4 	0.2 	0.4 
A,P_THAB,ED5,F,LV	: 	0.7 	0.6 	0.7 	0.7 	0.7 	0.8 	0.8 	0.6 	0.7 	0.9 	0.9 	: 
A,P_THAB,ED5,F,ME	: 	: 	: 	: 	: m	: m	: m	: m	: m	: m	: 	: m	: m
A,P_THAB,ED5,F,MK	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,P_THAB,ED5,F,MT	: 	0.9 	0.7 	1.0 	0.8 	0.8 	0.2 	0.1 	0.1 	0.3 	0.2 	0.2 	0.1 
A,P_THAB,ED5,F,NL	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.1 	0.1 	0.1 	: 
A,P_THAB,ED5,F,NO	: 	0.3 	0.3 	0.3 	0.3 	0.3 	0.2 	0.3 	0.4 	0.7 	0.6 	0.9 	0.9 
A,P_THAB,ED5,F,PL	: 	: m	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,P_THAB,ED5,F,PT	: 	: m	: m	: m	0.0 	0.3 	0.4 	0.4 	0.4 	0.5 	0.4 	0.5 	: 
A,P_THAB,ED5,F,RO	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,P_THAB,ED5,F,RS	: 	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,P_THAB,ED5,F,SE	: 	1.2 	1.2 	1.1 	1.2 	1.3 	1.3 	1.5 	1.9 	2.4 	3.5 	3.7 	: 
A,P_THAB,ED5,F,SI	: 	1.1 	1.0 	1.0 	1.1 	1.3 	1.4 	1.5 	1.3 	1.3 	1.2 	1.2 	1.5 
A,P_THAB,ED5,F,SK	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.1 	0.1 	0.1 	0.1 	0.0 	0.1 	0.0 
A,P_THAB,ED5,F,TR	: 	: 	: 	2.4 	2.3 	2.4 	2.5 	1.8 	2.0 	2.3 	4.2 	2.3 	: 
A,P_THAB,ED5,F,UK	: 	1.6 	0.7 	1.3 	1.3 d	1.4 d	1.4 d	1.6 d	: 	: 	: 	: 	: 
A,P_THAB,ED5,M,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.5 	1.8 	2.0 	: 
A,P_THAB,ED5,M,AT	: 	14.9 	14.8 	14.2 	13.5 	13.7 	14.0 	14.1 	15.8 	14.7 	14.2 	14.0 	14.5 
A,P_THAB,ED5,M,BE	: 	0.0 	0.0 	: d	0.0 	0.0 	0.0 	0.0 d	0.6 d	1.4 d	1.9 	2.0 	: 
A,P_THAB,ED5,M,BG	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,P_THAB,ED5,M,CH	: 	0.1 	0.1 	0.1 	0.1 	0.1 	0.0 	0.0 	0.0 	0.0 	0.1 	0.1 	0.1 
A,P_THAB,ED5,M,CY	: 	0.8 	1.2 	1.6 	1.6 	2.0 	3.0 	2.8 	3.1 	3.4 	3.3 	3.9 	3.6 
A,P_THAB,ED5,M,CZ	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: 
A,P_THAB,ED5,M,DE	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.3 	0.2 	0.3 	0.3 	0.3 	0.4 
A,P_THAB,ED5,M,DK	: 	4.2 	4.0 	4.1 	4.2 	4.4 	4.2 	4.4 	4.6 	4.6 	4.3 	4.7 	4.3 
A,P_THAB,ED5,M,EE	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,P_THAB,ED5,M,EL	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,P_THAB,ED5,M,ES	: 	9.6 	10.9 	11.2 	11.7 	11.5 	12.6 	12.8 	11.6 	15.7 	15.4 	16.4 	17.6 
A,P_THAB,ED5,M,EU27_2020	: 	: 	3.3 	3.3 d	3.3 	3.5 	3.8 d	3.8 	4.0 	4.6 	4.8 	4.3 	: 
A,P_THAB,ED5,M,EU28	: 	: 	3.1 	3.3 d	3.4 	3.5 	3.8 d	3.9 	: 	: 	: 	: 	: 
A,P_THAB,ED5,M,FI	: 	0.0 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,P_THAB,ED5,M,FR	: 	: d	: d	11.2 	11.6 	12.1 	12.3 d	12.6 	13.7 	13.7 	14.1 	9.3 	9.3 
A,P_THAB,ED5,M,HR	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.1 	0.0 	0.0 	0.0 	0.0 	0.0 
A,P_THAB,ED5,M,HU	: 	1.6 	1.7 	0.4 	0.2 	0.3 	0.3 	0.3 	0.4 	0.6 	0.6 	0.7 	0.9 
A,P_THAB,ED5,M,IE	: 	12.7 	3.5 	4.2 	4.0 	5.1 	5.7 d	6.6 d	6.9 d	7.2 d	7.2 d	7.0 d	: 
A,P_THAB,ED5,M,IS	: 	0.1 	0.4 	0.4 	0.2 	0.4 	0.4 	0.1 	0.1 	0.1 	0.1 	0.2 	: 
A,P_THAB,ED5,M,IT	: 	0.2 	0.3 	0.0 d	0.3 	0.4 	0.5 	0.5 	0.7 p	0.8 	1.0 	1.3 	1.2 
A,P_THAB,ED5,M,LI	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: 	: 
A,P_THAB,ED5,M,LT	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	0.0 
A,P_THAB,ED5,M,LU	: 	0.3 	0.6 	0.7 	1.0 	0.9 	0.9 	0.9 	1.0 	1.0 	1.5 	1.4 	1.5 
A,P_THAB,ED5,M,LV	: 	3.0 	3.3 	3.5 	3.4 	3.8 	4.4 	4.9 	3.5 	3.4 	3.9 	3.4 	: 
A,P_THAB,ED5,M,ME	: 	: 	: 	: 	: m	: m	: m	: m	: m	: m	: 	: m	: m
